Cylinders,Displacement,Horsepower,Weight,Acceleration,Car
8,307,130,3504,12,Chevrolet Chevelle Malibu
8,350,165,3693,11.5,Buick Skylark 320
8,318,150,3436,11,Plymouth Satellite
8,304,150,3433,12,AMC Rebel SST
8,302,140,3449,10.5,Ford Torino
8,429,198,4341,10,Ford Galaxie 500
8,454,220,4354,9,Chevrolet Impala
8,440,215,4312,8.5,Plymouth Fury iii
8,455,225,4425,10,Pontiac Catalina
8,390,190,3850,8.5,AMC Ambassador DPL
4,133,115,3090,17.5,Citroen DS-21 Pallas
8,350,165,4142,11.5,Chevrolet Chevelle Concours (sw)
8,351,153,4034,11,Ford Torino (sw)
8,383,175,4166,10.5,Plymouth Satellite (sw)
8,360,175,3850,11,AMC Rebel SST (sw)
8,383,170,3563,10,Dodge Challenger SE
8,340,160,3609,8,Plymouth 'Cuda 340
8,302,140,3353,8,Ford Mustang Boss 302
8,400,150,3761,9.5,Chevrolet Monte Carlo
8,455,225,3086,10,Buick Estate Wagon (sw)
4,113,95,2372,15,Toyota Corolla Mark ii
6,198,95,2833,15.5,Plymouth Duster
6,199,97,2774,15.5,AMC Hornet
6,200,85,2587,16,Ford Maverick
4,97,88,2130,14.5,Datsun PL510
4,97,46,1835,20.5,Volkswagen 1131 Deluxe Sedan
4,110,87,2672,17.5,Peugeot 504
4,107,90,2430,14.5,Audi 100 LS
4,104,95,2375,17.5,Saab 99e
4,121,113,2234,12.5,BMW 2002
6,199,90,2648,15,AMC Gremlin
8,360,215,4615,14,Ford F250
8,307,200,4376,15,Chevy C20
8,318,210,4382,13.5,Dodge D200
8,304,193,4732,18.5,Hi 1200D
4,97,88,2130,14.5,Datsun PL510
4,140,90,2264,15.5,Chevrolet Vega 2300
4,113,95,2228,14,Toyota Corolla
4,98,0,2046,19,Ford Pinto
4,97,48,1978,20,Volkswagen Super Beetle 117
6,232,100,2634,13,AMC Gremlin
6,225,105,3439,15.5,Plymouth Satellite Custom
6,250,100,3329,15.5,Chevrolet Chevelle Malibu
6,250,88,3302,15.5,Ford Torino 500
6,232,100,3288,15.5,AMC Matador
8,350,165,4209,12,Chevrolet Impala
8,400,175,4464,11.5,Pontiac Catalina Brougham
8,351,153,4154,13.5,Ford Galaxie 500
8,318,150,4096,13,Plymouth Fury iii
8,383,180,4955,11.5,Dodge Monaco (sw)
8,400,170,4746,12,Ford Country Squire (sw)
8,400,175,5140,12,Pontiac Safari (sw)
6,258,110,2962,13.5,AMC Hornet Sportabout (sw)
4,140,72,2408,19,Chevrolet Vega (sw)
6,250,100,3282,15,Pontiac Firebird
6,250,88,3139,14.5,Ford Mustang
4,122,86,2220,14,Mercury Capri 2000
4,116,90,2123,14,Opel 1900
4,79,70,2074,19.5,Peugeot 304
4,88,76,2065,14.5,Fiat 124B
4,71,65,1773,19,Toyota Corolla 1200
4,72,69,1613,18,Datsun 1200
4,97,60,1834,19,Volkswagen Model 111
4,91,70,1955,20.5,Plymouth Cricket
4,113,95,2278,15.5,Toyota Corolla Hardtop
4,97.5,80,2126,17,Dodge Colt Hardtop
4,97,54,2254,23.5,Volkswagen Type 3
4,140,90,2408,19.5,Chevrolet Vega
4,122,86,2226,16.5,Ford Pinto Runabout
8,350,165,4274,12,Chevrolet Impala
8,400,175,4385,12,Pontiac Catalina
8,318,150,4135,13.5,Plymouth Fury III
8,351,153,4129,13,Ford Galaxie 500
8,304,150,3672,11.5,AMC Ambassador SST
8,429,208,4633,11,Mercury Marquis
8,350,155,4502,13.5,Buick LeSabre Custom
8,350,160,4456,13.5,Oldsmobile Delta 88 Royale
8,400,190,4422,12.5,Chrysler Newport Royal
3,70,97,2330,13.5,Mazda RX2 Coupe
8,304,150,3892,12.5,AMC Matador (sw)
8,307,130,4098,14,Chevrolet Chevelle Concours (sw)
8,302,140,4294,16,Ford Gran Torino (sw)
8,318,150,4077,14,Plymouth Satellite Custom (sw)
4,121,112,2933,14.5,Volvo 145e (sw)
4,121,76,2511,18,Volkswagen 411 (sw)
4,120,87,2979,19.5,Peugeot 504 (sw)
4,96,69,2189,18,Renault 12 (sw)
4,122,86,2395,16,Ford Pinto (sw)
4,97,92,2288,17,Datsun 510 (sw)
4,120,97,2506,14.5,Toyota Corolla Mark II (sw)
4,98,80,2164,15,Dodge Colt (sw)
4,97,88,2100,16.5,Toyota Corolla 1600 (sw)
8,350,175,4100,13,Buick Century 350
8,304,150,3672,11.5,AMC Matador
8,350,145,3988,13,Chevrolet Malibu
8,302,137,4042,14.5,Ford Gran Torino
8,318,150,3777,12.5,Dodge Coronet Custom
8,429,198,4952,11.5,Mercury Marquis Brougham
8,400,150,4464,12,Chevrolet Caprice Classic
8,351,158,4363,13,Ford LTD
8,318,150,4237,14.5,Plymouth Fury Gran Sedan
8,440,215,4735,11,Chrysler New Yorker Brougham
8,455,225,4951,11,Buick Electra 225 Custom
8,360,175,3821,11,AMC Ambassador Brougham
6,225,105,3121,16.5,Plymouth Valiant
6,250,100,3278,18,Chevrolet Nova Custom
6,232,100,2945,16,AMC Hornet
6,250,88,3021,16.5,Ford Maverick
6,198,95,2904,16,Plymouth Duster
4,97,46,1950,21,Volkswagen Super Beetle
8,400,150,4997,14,Chevrolet Impala
8,400,167,4906,12.5,Ford Country
8,360,170,4654,13,Plymouth Custom Suburb
8,350,180,4499,12.5,Oldsmobile Vista Cruiser
6,232,100,2789,15,AMC Gremlin
4,97,88,2279,19,Toyota Camry
4,140,72,2401,19.5,Chevrolet Vega
4,108,94,2379,16.5,Datsun 610
3,70,90,2124,13.5,Mazda RX3
4,122,85,2310,18.5,Ford Pinto
6,155,107,2472,14,Mercury Capri v6
4,98,90,2265,15.5,Fiat 124 Sport Coupe
8,350,145,4082,13,Chevrolet Monte Carlo S
8,400,230,4278,9.5,Pontiac Grand Prix
4,68,49,1867,19.5,Fiat 128
4,116,75,2158,15.5,Opel Manta
4,114,91,2582,14,Audi 100LS
4,121,112,2868,15.5,Volvo 144ea
8,318,150,3399,11,Dodge Dart Custom
4,121,110,2660,14,Saab 99le
6,156,122,2807,13.5,Toyota Mark II
8,350,180,3664,11,Oldsmobile Omega
6,198,95,3102,16.5,Plymouth Duster
6,200,0,2875,17,Ford Maverick
6,232,100,2901,16,AMC Hornet
6,250,100,3336,17,Chevrolet Nova
4,79,67,1950,19,Datsun B210
4,122,80,2451,16.5,Ford Pinto
4,71,65,1836,21,Toyota Corolla 1200
4,140,75,2542,17,Chevrolet Vega
6,250,100,3781,17,Chevrolet Chevelle Malibu Classic
6,258,110,3632,18,AMC Matador
6,225,105,3613,16.5,Plymouth Satellite Sebring
8,302,140,4141,14,Ford Gran Torino
8,350,150,4699,14.5,Buick Century Luxus (sw)
8,318,150,4457,13.5,Dodge Coronet Custom (sw)
8,302,140,4638,16,Ford Gran Torino (sw)
8,304,150,4257,15.5,AMC Matador (sw)
4,98,83,2219,16.5,Audi Fox
4,79,67,1963,15.5,Volkswagen Dasher
4,97,78,2300,14.5,Opel Manta
4,76,52,1649,16.5,Toyota Corolla
4,83,61,2003,19,Datsun 710
4,90,75,2125,14.5,Dodge Colt
